odom_x, odom_y, odom_theta, stamp, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747261.0124538, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840811502055685e-07, 1732747261.1116548, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.384064707531441e-07, 1732747261.2025898, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840374226577833e-07, 1732747261.3026166, 
2.0556578661512503e-08, -2.417642264163078e-08, 2.3840134997910586e-07, 1732747261.411806, 
3.552713678800501e-15, 0.0, -1.7136983226359266e-11, 1732747261.5118423, 
3.552713678800501e-15, 0.0, -1.8901017091953416e-11, 1732747261.6025953, 
3.552713678800501e-15, 0.0, -2.1758253694333937e-11, 1732747261.7026207, 
3.552713678800501e-15, 0.0, -2.19755879469565e-11, 1732747261.7980926, 
3.552713678800501e-15, 0.0, -2.3578912559148448e-11, 1732747261.9126465, 
3.552713678800501e-15, 0.0, -2.3002271376802438e-11, 1732747262.0017545, 
3.552713678800501e-15, 0.0, -2.277266551720292e-11, 1732747262.1026227, 
3.552713678800501e-15, 0.0, -2.4888911837204635e-11, 1732747262.2121933, 
3.552713678800501e-15, 0.0, -2.463621984465777e-11, 1732747262.312775, 
3.552713678800501e-15, 0.0, -2.46711649414535e-11, 1732747262.4026077, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3844419308390356e-07, 1732747262.5026326, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384441775951647e-07, 1732747262.612551, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3844550916236095e-07, 1732747262.7126806, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384484342169529e-07, 1732747262.802612, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384499554306462e-07, 1732747262.902637, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384522501607359e-07, 1732747263.012364, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384558522658924e-07, 1732747263.1128232, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3845866817324107e-07, 1732747263.2026157, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3846111557337603e-07, 1732747263.3026426, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3846073233952113e-07, 1732747263.3536603, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3846003094767146e-07, 1732747263.5145712, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.384598888507228e-07, 1732747263.6036205, 
-2.0556568003371467e-08, 2.4176426194344458e-08, -2.3846103729570257e-07, 1732747263.702645, 
5.329070518200751e-15, -1.7763568394002505e-15, -4.293593656504678e-11, 1732747263.8123858, 
5.329070518200751e-15, -1.7763568394002505e-15, -4.493214425272965e-11, 1732747263.8917146, 
5.329070518200751e-15, -1.7763568394002505e-15, -4.784245966153734e-11, 1732747264.0036492, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.260905720647014e-11, 1732747264.1018116, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.4131176261070556e-11, 1732747264.2002082, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.519288927607339e-11, 1732747264.310585, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.5379302983692126e-11, 1732747264.3596885, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.637670877104972e-11, 1732747264.5016599, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.818530472956085e-11, 1732747264.6122038, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.888667434921524e-11, 1732747264.7096565, 
5.329070518200751e-15, -1.7763568394002505e-15, -5.841380879313246e-11, 1732747264.8036363, 
5.329070518200751e-15, -1.7763568394002505e-15, -6.054530428352543e-11, 1732747264.901665, 
5.329070518200751e-15, -1.7763568394002505e-15, -6.168357575910423e-11, 1732747265.0122862, 
-2.0556566227014628e-08, 2.4176426194344458e-08, -2.3847934919924367e-07, 1732747265.1098552, 
-2.0556566227014628e-08, 2.4176426194344458e-08, -2.3848173417645284e-07, 1732747265.203643, 
-2.0556566227014628e-08, 2.4176426194344458e-08, -2.3848350060741817e-07, 1732747265.3030093, 
-2.0556566227014628e-08, 2.4176426194344458e-08, -2.384840650509644e-07, 1732747265.4011705, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769010276358482e-07, 1732747265.5113852, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769012827929901e-07, 1732747265.603646, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769030425450214e-07, 1732747265.702679, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769047296332481e-07, 1732747265.812163, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769040215584286e-07, 1732747265.9108782, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.76903034860565e-07, 1732747266.0036516, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.768996835757814e-07, 1732747266.1026843, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769003940535743e-07, 1732747266.2011795, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769000198005828e-07, 1732747266.3113701, 
-4.1113132454029255e-08, 4.8352859494116274e-08, -4.769009846837627e-07, 1732747266.4040952, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.15318378899276e-07, 1732747266.5036843, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153172459776935e-07, 1732747266.6015487, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153173768807027e-07, 1732747266.7110991, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153170377568621e-07, 1732747266.8036633, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153164553140698e-07, 1732747266.9047244, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153092523072319e-07, 1732747267.0144367, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153078228705877e-07, 1732747267.093546, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153044863332129e-07, 1732747267.203673, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153047175771343e-07, 1732747267.3046968, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153048844484663e-07, 1732747267.412677, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153048402022968e-07, 1732747267.513107, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153044135824655e-07, 1732747267.6026733, 
-6.16696951283302e-08, 7.252928924117441e-08, -7.153028745816356e-07, 1732747267.702712, 
-4.111312179588822e-08, 4.835286659954363e-08, -4.768845231058404e-07, 1732747267.8051558, 
-4.111312179588822e-08, 4.835286659954363e-08, -4.76883674471719e-07, 1732747267.913156, 
-4.111312179588822e-08, 4.835286659954363e-08, -4.768851664697428e-07, 1732747268.002676, 
-2.0556546687089394e-08, 2.4176440405199173e-08, -2.384635366340659e-07, 1732747268.102739, 
-2.0556546687089394e-08, 2.4176440405199173e-08, -2.3846092955819446e-07, 1732747268.213189, 
-2.0556546687089394e-08, 2.4176440405199173e-08, -2.3846252341859016e-07, 1732747268.3129935, 
-2.0556546687089394e-08, 2.4176440405199173e-08, -2.38460892587728e-07, 1732747268.402686, 
2.4868995751603507e-14, 1.2434497875801753e-14, -4.3878898404103945e-11, 1732747268.5027177, 
2.4868995751603507e-14, 1.2434497875801753e-14, -4.600379597520091e-11, 1732747268.6031518, 
2.4868995751603507e-14, 1.2434497875801753e-14, -4.752253636676538e-11, 1732747268.6433957, 
2.4868995751603507e-14, 1.2434497875801753e-14, -5.007785608610022e-11, 1732747268.9027169, 
2.4868995751603507e-14, 1.2434497875801753e-14, -5.1419053027247896e-11, 1732747269.0032268, 
2.4868995751603507e-14, 1.2434497875801753e-14, -5.4035775345463865e-11, 1732747269.1135674, 
2.4868995751603507e-14, 1.2434497875801753e-14, -5.889538078451528e-11, 1732747269.2030444, 
-2.0556543134375715e-08, 2.4176440405199173e-08, -2.384775525067946e-07, 1732747269.3027642, 
-2.0556543134375715e-08, 2.4176440405199173e-08, -2.3847643576754736e-07, 1732747269.352742, 
0.00020787210087291896, -6.186868995428085e-05, 0.0019741067567691133, 1732747269.5128496, 
0.005695751868188381, 0.0002732952998485416, 0.030892357210167056, 1732747269.6027021, 
